time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.errors,.cmds,.ekf_output,.e_m,.e_m_dot,.time
1970/01/01/02:06:45.214000,1989,0,0,,"(-0.38326361775398254, -0.16659997403621674, -0.30445972084999084, -0.22024498879909515, 0.13285872340202332, -0.2716157138347626, 0.08955396711826324, -0.22971351444721222)","(0.3330756723880768, -0.17187198996543884, -0.029674187302589417, 0.22314095497131348)","(-0.11620934307575226, 0.5480454564094543, 1.0275579690933228, 1.0137790441513062)","(-0.116327665746212,)","(0.5484567880630493,)",405.209014893
1970/01/01/02:06:45.248000,1990,0,0,,"(-0.3772721588611603, -0.14490462839603424, -0.303374707698822, -0.20196154713630676, 0.13693909347057343, -0.24063171446323395, 0.09582462906837463, -0.20398136973381042)","(0.432127982378006, -0.33071771264076233, -0.024970773607492447, 0.14948147535324097)","(-0.11185681819915771, 0.3771088719367981, 1.0161818265914917, 1.0080909729003906)","(-0.11197078973054886,)","(0.377350389957428,)",405.235992432
1970/01/01/02:06:45.272000,1991,0,0,,"(-0.38215726613998413, -0.12202513217926025, -0.3099309206008911, -0.17895713448524475, 0.14164744317531586, -0.21042895317077637, 0.09384839981794357, -0.16987337172031403)","(0.4615996778011322, -0.2807447612285614, -0.016595948487520218, 0.13857077062129974)","(-0.11403194069862366, 0.2792254686355591, 1.0096675157546997, 1.0048338174819946)","(-0.1141480877995491,)","(0.2793697714805603,)",405.261993408
1970/01/01/02:06:45.303000,1992,0,0,,"(-0.38215726613998413, -0.12205170840024948, -0.3099309206008911, -0.17898371815681458, 0.14164744317531586, -0.2104555368423462, 0.09384839981794357, -0.16989995539188385)","(0.4843446910381317, -0.3011314868927002, -0.01661406084895134, 0.13191187381744385)","(-0.11403194069862366, 0.05410531535744667, 0.9946853518486023, 0.9973427057266235)","(-0.1141480877995491,)","(0.05402599275112152,)",405.282989502
1970/01/01/02:06:45.327000,1993,0,0,,"(-0.39388221502304077, -0.09336432069540024, -0.327882319688797, -0.14965258538722992, 0.13516680896282196, -0.17601335048675537, 0.08475451916456223, -0.13566890358924866)","(0.5487117171287537, -0.29365837574005127, -0.007651444524526596, 0.09869866818189621)","(-0.12533336877822876, -0.22824805974960327, 0.9758942127227783, 0.9879471063613892)","(-0.12546080350875854,)","(-0.22860784828662872,)",405.322998047
1970/01/01/02:06:45.368000,1994,0,0,,"(-0.4086410105228424, -0.05263228341937065, -0.34626856446266174, -0.10466296225786209, 0.10315428674221039, -0.1324230581521988, 0.05363645777106285, -0.09216507524251938)","(0.5477339625358582, -0.06601771712303162, -0.0026418790221214294, 0.11622409522533417)","(-0.14937825500965118, -0.44642290472984314, 0.9613742828369141, 0.980687141418457)","(-0.14952971041202545,)","(-0.4469994008541107,)",405.358001709
1970/01/01/02:06:45.403000,1995,0,0,,"(-0.4211583137512207, -0.040379174053668976, -0.35564959049224854, -0.0972837284207344, 0.10374326258897781, -0.11960210651159286, 0.04948222264647484, -0.0847349464893341)","(0.6137272715568542, -0.18691250681877136, -0.001432381453923881, 0.0610460489988327)","(-0.15573780238628387, -0.34688085317611694, 0.9679989814758301, 0.983999490737915)","(-0.15589560568332672,)","(-0.34735846519470215,)",405.398010254
1970/01/01/02:06:45.443000,1996,0,0,,"(-0.428571492433548, -0.028977030888199806, -0.37138333916664124, -0.08668655902147293, 0.09700210392475128, -0.11580163240432739, 0.054422084242105484, -0.07753711193799973)","(0.6569527983665466, -0.08275569975376129, -0.002125231781974435, 0.08097094297409058)","(-0.1619686335325241, -0.045034103095531464, 0.9880874156951904, 0.9940437078475952)","(-0.16213266551494598,)","(-0.045211903750896454,)",405.438995361
1970/01/01/02:06:45.486000,1997,0,0,,"(-0.4372505843639374, -0.01829354837536812, -0.3925027847290039, -0.08127042651176453, 0.09346217662096024, -0.1078326553106308, 0.05432271584868431, -0.06746075302362442)","(0.6900684833526611, -0.21357785165309906, 0.002376483054831624, 0.03154066950082779)","(-0.17031975090503693, 0.060981668531894684, 0.9951429963111877, 0.9975714683532715)","(-0.17049211263656616,)","(0.060909174382686615,)",405.480010986
1970/01/01/02:06:45.508000,1998,0,0,,"(-0.4445171058177948, -0.0010961609659716487, -0.4040175974369049, -0.07032765448093414, 0.09570010751485825, -0.09628860652446747, 0.0635736957192421, -0.0541977621614933)","(0.7469218373298645, -0.18238012492656708, 0.0012380880070850253, 0.0218189787119627)","(-0.17214103043079376, 0.2916988134384155, 1.0104976892471313, 1.005248785018921)","(-0.17231522500514984,)","(0.29185551404953003,)",405.497009277
